ID_evaluacion,evaluacion,calificacion,sentimiento
81841,"Este teléfono inteligente superó mis expectativas, recomiendo",5,positivo
28031,"¡El olor es muy desagradable! Para aquellos que están molestos, no lo recomiendo.",2,negativo
91332,"Hice la compra que la tienda no entregó el producto, la compra se realizó en la tarjeta de crédito y hasta ahora la tienda tampoco me devolvió el valor de la compra.",1,negativo
110045,"Cumplió con mis expectativas, solo encontré la luz mala, pero nada que dificulte la función.",4,positivo
36929,"Realmente me gustó, solo pensé que era querer la calidad de las fotos. Pensé que era mucho mejor.",5,positivo
13086,"Compré el producto y no había entrega, ¡no fue genial!",1,negativo
117549,"El producto puede incluso ser bueno, pero solo puedo evaluarlo después de que se haga el intercambio para que yo lo use, porque estoy esperando que el intercambio se haga lo que recibí salió roto.",1,negativo
56436,"Ya envié dos quejas, pero no obtuve respuesta. Recibí el producto roto y quiero otro. Estoy esperando saber qué hacer. Att. Carmen",1,negativo
127040,"No recibí el producto, porque no ha cumplido con el compromiso de entregar hasta este día 23/05/18. Logística pesimal. Ya solicité la cancelación de la compra.",1,negativo
12906,"A partir de 2017, los juegos en línea comenzaron a tener problemas como la desconexión constante que no calculan el puntaje del juego, uno de los equipos invisibles que obligan al abandono del partido ... por la cantidad que cobran por la anualidad en el juego Microsoft y EA original están siendo muy negligentes.",2,negativo
108940,"Mejor de lo esperado, ¡Maravilloso color! Recomiendo. Hace que su entorno sea más moderno",5,positivo
107400,¿Es esta bicicleta para adultos? ¿Cuál es el tamaño del borde?,2,negativo
111349,"No me entregaron, pagué. Considero un fraude",1,negativo
127761,"El HD vino con defecto, ni siquiera me importa ... Estoy en un intento por intercambiar, han sido unos 20 días ...",1,negativo
114931,"La voz de voz del teléfono comenzó a activarse solo esta semana 05/05/2018. Y no más discapacitados, ni siquiera puedo sacar el teléfono del gancho de que comienza a hacer un zunid muy fuerte. La factura se emitió el 16/11/2018, pero solo comencé a usar después de las vacaciones en enero de 2018.",1,negativo
116473,Un dispositivo con gran rendimiento y un precio mucho más bajo que otras marcas conocidas con un rendimiento similar.,4,positivo
2401,Hasta la fecha no he recibido mi producto.,1,negativo
49870,"Después de cinco barbas, el producto ya no recorta el cabello.",1,negativo
30477,El producto vivía mis expectativas. ¡Muy bien de hecho!,5,positivo
98849,"Tomó el producto, fue a la fecha límite, pero el móvil es bueno",4,positivo
101832,"La compañía me da una fecha límite, de 3 a 7 días hábiles, el boleto fue confirmado el 16, transmitiendo un correo electrónico diciendo que se espera que la entrega 3/5 solo respondió a mis quejas en la fecha 25/4, que fue la fecha máxima para la entrega del producto, ridícula.",1,negativo
62578,La entrega fue rápida y el mouse y muy bien hermosa y tiene una excelente huella que recomiendo y el precio es excelente,4,positivo
106270,"Bro, lo que veo que vende Band-Aid by Net Bro VTNC KKKKKKKKKKKKKKKKKKK",1,negativo
2626,"El dispositivo está bloqueado. Perdí mucho tiempo con el operador Vivo y OI para tratar de desbloquear. Nada hecho. Ahora intentaré asistencia técnica de Samsung, pero tendré que pagar el desbloqueo si es posible. Un fraude contra el Conlsumer.",1,negativo
17235,Excelente producto. Todo es perfecto durante el proceso de compra,4,positivo
2282,El producto en el anuncio dice que tiene 1.65 de ancho y cuando llegó es 1.95. Compras para un espacio determinado y no puedes usar el producto.,1,negativo
4936,"Los productos Tramontina siempre son buenos, la mesa de planchado y excelentes.",5,positivo
12053,"El ejercicio es muy bueno, cumple muy bien la expectativa, tanto para el atornillado como para la perforación. EXCELENTE.",4,positivo
2774,"Gran bicicleta, mi sobrina amaba ... llegó a la fecha esperada ... excelente vendedor",4,positivo
75635,"Me encantó, y como soñé, súper rápido, no te caliente, me encantó",5,positivo
23341,"Entrega temprana. ¡Estoy muy contento, con mi compra!",4,positivo
97052,"Cumple con lo que promete, videosonic es ser felicitado (incluso tener un retraso ligero a tiempo)",4,positivo
8170,"¡Excelente producto de buena calidad, sin mencionar que el emprendedor Q fue de 72 horas después de comprar el producto! Super recomendar !!!!!",5,positivo
54928,Un buen producto. Recibí mucho antes del tiempo esperado. Estoy satisfecho. Valió la pena la compra. ¡Está indicado!,5,positivo
16455,un CD con formas formales ni un cable para descargar la aplicación correcta una decepción,2,negativo
78420,"El producto es muy hermoso aparentemente. Pero tan pronto como lo tomamos, ya notamos la mala calidad en el material utilizado. Ya ha venido con una abolladura tan delgada que es. Nos calentamos varias veces y ya nos doblamos todo el fondo.",2,negativo
43600,No puedo evaluar lo que aún no he recibido. Más de un mes y nada del producto.,1,negativo
90719,Entrega menos que el pedido y el producto son consistentes con la publicidad,5,positivo
106940,"Producto hermoso y práctico potente muy bueno, recomiendo",5,positivo
98155,"Muy hermoso producto, lástima que haya venido y la tienda se está curvando para devolver mi dinero, mientras solicité la cancelación a tiempo.",4,positivo
15183,"Estoy contento con el producto, cheques de buena calidad con la descripción",5,positivo
79552,"A pesar de la entrega que ha tomado, mientras que el producto es excelente.",5,positivo
129010,Sofazão Bro! Muy buena calidad de tela ... en una tela delgada ... y simplemente todo acolchado ... en broma ... parece que estás acostado sobre almohadas ... se siente cómodo ... es extensible ... tengo 1.81 ... y mis pies quedan si me pongo recto ... pero para alguien más pequeño va bien. El problema es que es muy pesado ... pero debe ser por la calidad de los almacenes ... mis myders y espuma ... Estoy muy satisfecho con esta compra ... ¡valió la pena!,5,positivo
26624,Con 2 meses se ha estropeado. Ya no lo calienta. Se enciende y parece haberse convertido en un congelador.,1,negativo
76978,"Excelente producto, por valor, nada comparable en el mercado, el sonido es excepcional, increíble, no puedo usar más del 10% del volumen, tan alto y sin perder calidad, lo recomiendo a todos",4,positivo
121464,Hice la compra con el tiempo de entrega durante 60 días y nunca recibí el producto y la tienda no toma ninguna medida. Negligencia y falta de respeto con los clientes,1,negativo
49920,"Depende de lo que promete, solo lleva tiempo (no sé por qué) un poco para jugar, el otro teléfono (extensión) siempre juega primero que él ... jajaja ... no entiendo por qué, pero nada que comprometa la usabilidad del dispositivo ... del resto, excelente ...",4,positivo
26251,"El producto es excelente deja el cabello totalmente aliado, amado ...",4,positivo
109332,"Idéntico al anuncio, satisfizo mis necesidades.",4,positivo
108611,"Práctico, ha llegado a tiempo y está dentro de mis expectativas. ¡Se puede usar en cualquier entorno!",4,positivo
28954,"Me gusta Motorola, bla, bla, bla, bla, etc., etc ... Gracias",5,positivo
75045,"Ya vine con mal contacto, dos días después dejó de funcionar, paga para gastar un poco más y comprar el original",1,negativo
20503,Gran producto. Recomendar a cualquier persona interesada.,4,positivo
47175,"Gran producto, solo falta algunos de ellos, porque, en la visualización y la especificación de los productos, no puede tener un tamaño real de ellos.",4,positivo
107031,Estaba muy bien atendido. Estoy satisfecho y recomiendo el servicio.,5,positivo
4167,Hoy es 9 días desde la fecha esperada para la entrega del producto y hasta ahora no lo he recibido. El estado del seguimiento de las actualizaciones desde 13/12/2017.,1,negativo
122609,"Superó mis expectativas, hermosas, suaves, calidad. Entrega mucho antes de la fecha límite, lo recomiendo !!!",4,positivo
61366,"Compré la junta de Taiff Vulcan en la convicción de que era un buen producto (por el pasaje muy costoso), incluso el peso de la marca, pero no cumplía con las expectativas. Estaba perplejo cuando vi que el hierro plano estaba pelado y parte de él corroída. ¡Esto es absurdo! Como consumidor, exijo que este problema se resuelva, ya que todavía estoy pagando por un producto engañoso. Además de eso, no recibí la factura, el sitio afirma que la factura es electrónica, pero no tengo idea de cómo emitir. Todavía no he sido apoyado.",1,negativo
17936,Y todavía tengo la cara de enviarme para evaluar la fecha límite para llegar a mi residencia fue como 9 días y haré un mes y nada,1,negativo
46105,"Recomiendo comprar la impresora, especialmente para la gran cantidad de pintura.",5,positivo
84647,"Última novela de la serie napolitana, excelente y apasionada como los otros 3 libros. Elena Ferrante escribe muy comprensamente, aquellos que nos hacen sentir el dolor y las delicias de cada personaje.",5,positivo
13567,"¡Realmente me gustó el producto! Funciona muy bien, es bastante cómodo.",5,positivo
74307,"Muy mal producto, se hunde de espuma con poco tiempo de uso. JA llega a casa que necesita renovar. Economía La base de la basura si pudiera escribir esto en cada anuncio en este producto para que otras personas no elijan esta basura",1,negativo
28206,Aún no recibido. Solicito entrega inmediata o valor de valor a mi tarjeta lo antes posible. Att Sérgio Jalonetsky,1,negativo
98127,Excelente producto Gran gran calidad y velocidad de entrega.,5,positivo
17627,"Quiero mi pago, informé la cuenta de Savanca y también a la XONTA Jurídica. En el que se depositará. Por favor",1,negativo
91105,"La carga turbo solo funciona con ella. Cuando lo puse en funcionamiento, se tarda más de cinco horas en cargarse.",1,negativo
114475,El poder es bajo. Calentar las necesidades de unos minutos más que otras microondas.,2,negativo
39577,"No pude comprarlo porque no hay dónde, seleccionando el tamaño si me equivoco de amabilidad me explica",2,negativo
16491,"El material en la fotografía parece ser tela, pero es PVC, muy cerca del lienzo de la piscina. Tiene un olor extremadamente fuerte. Dado que, debido a que es PVC y se pliega en un empaquetado pequeño, el producto está marcado. No recomiendo el producto. Solicité el intercambio en las Américas, y he estado esperando un puesto de la tienda durante muchos días, y hasta ahora no ha habido manifestaciones, ya que ya está pagando por el producto.",1,negativo
106584,"100%. La mejor compra que he hecho en los últimos tiempos. Producto barato y útil. Producto resistente y liviano. El teclado proporciona una escritura cómoda y se necesita el mouse. El teclado y el mouse usan solo un receptor, guardando el número de puertos USB de la computadora. Me deshice del inconveniente de los cables y mi espacio de trabajo se hizo más claro y más duro. Además, todo me parece bastante duradero. 100% de seguridad. Recomiendo a todos.",4,positivo
95447,"No conocía la marca, pero parece ser muy buena, la batería dura mucho tiempo.",4,positivo
21151,"¿Quieres consejos? ¡No compre un teléfono inteligente ASUS, compré uno y tan pronto como se completó 1 año colgado y ya no se conecta! No hay solución, tengo un nuevo teléfono celular que no funciona y estoy completamente indignado, y si investigando hay varias quejas del mismo problema, ¡compro ASUS nunca más!",1,negativo
91763,"Simple y eficiente. Vale la pena, kkdkkaskjds djkjdskjdsksjd kdjksdajksdjkdddddddddddjdsjjjsadkjdsaklj adjdslkajsdakjdsakjjjjjjj",4,positivo
54931,"Excelente producto marca el peso preciso, ya estoy usando casi 1 mes y no tengo nada de qué quejarse y la entrega también debe ser felicitada súper rápido.",5,positivo
53922,"Compré el 7/02 y hasta ahora no ha llegado, cada vez que miro la fecha de los cambios de la fecha límite, estoy muy insatisfecho con la demora.",1,negativo
68427,Pesimal. El servicio de la compañía en el regreso es aún peor,1,negativo
22520,"Excedió mi expectativa.  Para mí, reemplaza perfectamente la licuadora y la batidora.  Muy bueno de hecho. También me sorprendió la entrega. Rapidísimo.",5,positivo
34210,"Ni siquiera lo he recibido y ya informa el estado de que el producto fue entregado, absurdo, ¡compré en noviembre y hasta el día de hoy!",1,negativo
5541,"Horrible producto falso y salió semi abierto, terrible ... ¡decepción para mi hija!",1,negativo
54143,Gran superado mis expectativas llegaron antes,5,positivo
22522,"Además de la cámara de que la cámara venía con todos los rayados y la lente con un gran riesgo en el resto, ha llegado bien, prácticamente 100% seguro de que esta cámara debería ser el regreso de alguien que ya ha regresado y me ha enviado una falta de consideración con el cliente, si el producto no es tan calidad, incluso entendemos el bajo precio, pero al menos tuvo que ser nuevo e intacto y no lleno de marcas de uso.",1,negativo
74512,Producto con defecto y horrible mala calidad que no recomiendo,1,negativo
79571,"Encontré el teléfono diferente de la publicidad, Hsauhuahsuhaushuahshasuhuhahusahu",1,negativo
69308,"Ideal For Home tiene un buen bajo, pero desea que la fiesta recomiende otro sonido. Una fiesta con pocas personas hasta que da.",4,positivo
102370,"Compré este congelador, recibí y no funcionó.  Solicité el intercambio del producto y no se hizo nada. Tuve que pagar por un mecánico para arreglar por qué necesitaba mucho usar",1,negativo
75809,"Muy buena imagen y procesador muy rápido. No sé si las generaciones más jóvenes son aún mejores, pero teniendo en cuenta el beneficio y el precio más bajo, este televisor cumple completamente con las expectativas.",4,positivo
91918,"Muy buen teléfono celular. Excelente cámara, procesador muy rápido y excelente memoria interna",4,positivo
29157,"Realmente disfruté el producto, porque satisface mis necesidades aquí que el voltaje es de 110 V. Recomendaré a amigos y conocidos",4,positivo
110269,"Precio razonable, dispositivo regular que satisface las necesidades básicas.",5,positivo
109162,Excelente producto muy bueno llegó en buenas condiciones que recomiendo,5,positivo
55979,Producto entregado a tiempo.  Es muy bueno. ..........................,4,positivo
114014,"Me gustó, hay varios tipos de jet y para almacenarlo no ocupa espacio. Muy bien, lo recomiendo!",5,positivo
75063,"La manguera ya ha desgarrado en dos lugares, mala calidad, extremadamente frágil. Se arreglé como instrucciones del vendedor, pero terminaré con medio metro de manguera para continuar rompiéndose.",1,negativo
71130,Excelente perfume. Adoro. Llegó muy rápido y con excelente precio.,5,positivo
125830,Recomiendo. Muy hermosa película. Las canciones de la película también son geniales.,4,positivo
66976,"Tomó un tiempo en la entrega. Aparte de esto, el televisor es excelente.  Imagen y sonido impecable. La función inteligente es súper rápida.",5,positivo
66278,"El cable es corto y no fijo ... como usa y disminuirá ... La recarga también es mala, elige la suciedad y no limpia, puede empaparse, frotar con un cepillo que no limpia ...",1,negativo
93249,El producto ha llegado y desde entonces nunca ha funcionado. Quería saber cómo hago que lo cambie.,1,negativo
102983,"Hasta ahora, nada de qué quejarse, solo tengo una semana de uso, pero parece ser un muy buen producto, tiene una excelente cámara.",4,positivo
40911,"La fuente de bebida fresca, diseño genial y solo. El mayor defecto es que el depósito donde el agua cae es muy pequeño, es decir: al colocar un nuevo galón de agua, derrama mucha agua fuera de la fuente de bebida. El ""sensor de temperatura"" duró aproximadamente 7 meses, ya no se cerró, se está congelando.",1,negativo
70245,Todavía no he recibido el producto. Me gustaría saber cuál es el pronóstico de llegada. Gracias Mariângela,1,negativo
27506,"Producto Pesmo, vino sin factura, número de semuma para que pueda quejarme, ya que ahora tengo.",1,negativo
93867,"¡Los débiles llegaron por la mitad, sin sello!  ¡Uno de los viales vino con el contenido todo de moda!  ¡Y la hidratación no era buena! Claramente, producto adulterado! Horrible !!",1,negativo
9263,¡Se lo compré a mi prometido como regalo y le encantó!,4,positivo
76370,"No tengo forma de tener una opinión, ya que no recibí el producto. Por lo tanto, no tengo forma de dar una opinión sobre la calidad.",1,negativo
126785,"Pagué por este teléfono celular y me envié otro. Llamé para resolver y el asistente simplemente dice que no hay más en stock, dijo que eso me devolvería a resolver el punto muerto y hasta ahora nada. ¡Un absurdo! ¡Quiero que me devuelvan mi dinero!",1,negativo
55639,"Producto de excelente calidad y beneficio de costos, enviado rápidamente.",5,positivo
19051,Incluso podría evaluar solo eso hasta que hoy no haya llegado el producto a Rsperando y nada de la prisión del dispositivo con urgencia,1,negativo
59730,"La máquina que recibí era una máquina Raviolli. No hace varios tipos de pasta, como lasaña, taglierini, fettuccine, espagueti rotondi, talla, espagueti, pastel, hojaldre y otros. Ella solo tiene cilindro para hacer la masa de lasaña y el cortador de Raviolli. No corta osos, ni fetutino ni espagueti. No es la máquina que solicité, ni cumple con las especificaciones presentadas en el anuncio.",1,negativo
22369,"Fue muy bueno lo que vi sobre el teléfono, ¡necesito uno así! ¡Siempre me gustó Motorola y ahora compraré este dispositivo de dispositivo seguro!",5,positivo
49371,"La relación costo/beneficio es buena. Teniendo en cuenta el precio, hasta que la calidad sirva bien.",4,positivo
9442,Creo que cancelé el producto sin querer,1,negativo
44936,"El dispositivo es muy bueno, funciona bien, tiene una configuración de manejo fácil.",5,positivo
13411,Las bisagras y sus soportes son frágiles y la puerta no se cierra correctamente.,1,negativo
