ID_avaliacao,avaliacao
5775,Opinión del cliente traducida al español.
7734,Opinión del cliente traducida al español.
3756,"Excelente calidad, cumplió todas mis expectativas."
6568,Opinión del cliente traducida al español.
6266,Opinión del cliente traducida al español.
4530,Opinión del cliente traducida al español.
9008,Opinión del cliente traducida al español.
9199,Opinión del cliente traducida al español.
4020,Opinión del cliente traducida al español.
9105,Opinión del cliente traducida al español.
